id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
1150535163779968545,Seaside Retreat T2 by LovelyStay,576063056,Mário,VILA NOVA DE GAIA,Arcozelo,41.064357245303945,-8.637974112186956,Entire home/apt,38,28,0,,,1,339,0,Exempt
1150561613808990971,Fervença Suites - D,70509853,Joana E Pedro,VILA NOVA DE GAIA,Santa Marinha e São Pedro da Afurada,41.13433,-8.61157,Entire home/apt,,1,4,2024-07-26,0.96,12,255,4,136446/AL
1150572898919454329,Porto Central,576073144,Adriana,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.1537097,-8.6073981,Private room,22,7,2,2024-08-22,1.71,1,204,2,33866/AL
1150626661348583227,GuestReady - Porto's Charming Escape,576084880,Rute,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.153709052326676,-8.613214106555445,Entire home/apt,70,1,20,2024-09-11,4.69,1,335,20,127910/AL
1150658411256956847,Fervença Suites - G,70509853,Joana E Pedro,VILA NOVA DE GAIA,Santa Marinha e São Pedro da Afurada,41.13518328174689,-8.612053401965802,Entire home/apt,90,1,6,2024-08-17,1.43,12,197,6,136446/AL
1150682576547983603,Fervença Suites - H,70509853,Joana E Pedro,VILA NOVA DE GAIA,Santa Marinha e São Pedro da Afurada,41.13589,-8.61196,Entire home/apt,,1,0,,,12,263,0,136446/AL
1150701737783034265,Fervença Suites - I,70509853,Joana E Pedro,VILA NOVA DE GAIA,Santa Marinha e São Pedro da Afurada,41.13487632000457,-8.611273412498901,Entire home/apt,,1,4,2024-09-08,0.93,12,256,4,136466/AL
1150932231814164875,Fervença Suites - J,70509853,Joana E Pedro,VILA NOVA DE GAIA,Santa Marinha e São Pedro da Afurada,41.13460087330172,-8.610588809247627,Entire home/apt,,1,3,2024-09-06,0.92,12,260,3,136466/AL
1150944714087072366,Fervença Suites - L,70509853,Joana E Pedro,VILA NOVA DE GAIA,Santa Marinha e São Pedro da Afurada,41.135,-8.61056,Entire home/apt,,1,2,2024-06-24,0.63,12,254,2,136446/AL
1151193261749621024,Fervença Suites - M,70509853,Joana E Pedro,VILA NOVA DE GAIA,Santa Marinha e São Pedro da Afurada,41.13464,-8.60968,Entire home/apt,90,1,9,2024-08-19,2.27,12,257,9,136466/AL
1151194169166933496,"Férias ou estadias curtas,Porto.",563686869,Justino,VILA NOVA DE GAIA,Vilar de Andorinho,41.098852203350056,-8.59069791127637,Entire home/apt,96,1,2,2024-07-18,0.90,1,269,2,Exempt
1151199122363144062,GuestReady - A sense of peace in Porto,576249454,Joana,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.14386021968135,-8.620967713840152,Entire home/apt,70,1,15,2024-08-25,3.60,1,11,15,Exempt
1151199604494776740,Fervença Suites - N,70509853,Joana E Pedro,VILA NOVA DE GAIA,Santa Marinha e São Pedro da Afurada,41.1353,-8.61058,Entire home/apt,,1,9,2024-09-08,2.14,12,263,9,136466/AL
