,license,license_cleaned
1873,39516/AL,39516
1874,50944/AL,50944
1875,74417/AL,74417
1877,74422/AL,74422
1878,74421/AL,74421
1880,46623/AL,46623
1881,33475/AL,33475
1883,nan,
1885,nan,
1886,49299/AL,49299
1887,nan,
1888,52187/AL,52187
1889,53398/AL,53398
1890,39424/AL,39424
1891,39213/AL,39213
1892,39513/AL,39513
1893,39370/AL,39370
1894,37625/AL,37625
1895,39248/AL,39248
1899,36529/AL,36529
1901,38594/AL,38594
1902,29591/AL,29591
1904,50112/AL,50112
1905,50264/AL,50264
1908,43283/AL,43283
1910,38498/AL,38498
1913,43807/AL,43807
1915,nan,
1916,nan,
1918,51422/AL,51422
1920,45368/AL,45368
1921,45353/AL,45353
1922,45353/AL,45353
1924,nan,
1925,38458/AL,38458
1926,nan,
1927,39372/AL,39372
1928,39373/AL,39373
1929,nan,
1930,48655/AL,48655
1931,38168/AL,38168
1932,nan,
1933,nan,
1935,3736/AL,3736
1936,nan,
1937,3736/AL,3736
1938,3736/AL,3736
1939,nan,
1940,48670/AL,48670
1941,3736/AL,3736
1943,52195/AL.,52195
1945,23006/AL,23006
1946,40467/AL,40467
1947,nan,
1949,38599/AL,38599
1951,38198/AL,38198
1952,29751/AL,29751
1953,nan,
1954,6472/AL,6472
1956,85516/AL,85516
1957,nan,
1958,nan,
1959,nan,
1960,62336/AL,62336
1961,nan,
1962,53975/AL,53975
1965,106150/AL,106150
1966,51006/AL,51006
1967,nan,
1969,nan,
1970,39863/AL,39863
1973,nan,
1974,40684/AL,40684
1975,38465/AL,38465
1976,nan,
1977,nan,
1978,52483/AL,52483
1979,40682/AL,40682
1980,nan,
1982,40681/AL,40681
1984,40680/AL,40680
1985,50158/AL,50158
1987,118841/AL,118841
1988,42783/AL,42783
1989,nan,
1990,nan,
1991,36269/AL,36269
1992,36272/AL,36272
1993,nan,
1994,15790/AL,15790
1995,36273/AL,36273
1996,113859/AL,113859
1997,55247/AL,55247
1999,43746/AL,43746
2000,nan,
2001,nan,
2002,49294/AL,49294
2003,nan,
2004,39924/AL,39924
2006,41045/AL,41045
2009,40448/AL,40448
2011,40437/AL,40437
2013,40428/AL,40428
2014,42961/AL,42961
2015,106147/AL,106147
2016,40433/AL,40433
2017,106149/AL,106149
2018,106146/AL,106146
2019,40494/AL,40494
2020,52244/AL,52244
2021,36564/AL,36564
2022,36564/AL,36564
2023,42964/AL,42964
2024,63795/AL,63795
2026,86374/AL,86374
2027,nan,
2029,45041/AL,45041
2030,121694/AL,121694
2031,nan,
2032,36564/AL,36564
2033,nan,
2034,nan,
2035,40562/AL,40562
2036,nan,
2037,114703/AL,114703
2038,40804/AL,40804
2039,36564/AL,36564
2040,36564/AL,36564
2042,94463/AL,94463
2043,44113/AL,44113
2044,36564/AL,36564
2046,36564/AL,36564
2047,36564/AL,36564
2048,nan,
2049,369205,369205
2050,133843/AL,133843
2051,45680/AL,45680
2054,70144/AL,70144
2056,nan,
2057,133318/AL,133318
2058,88611/AL,88611
2059,48539/AL,48539
2060,69177/AL,69177
2061,40278/AL,40278
2066,48539/AL,48539
2067,40510/AL,40510
2069,129338/AL,129338
2070,53653/AL,53653
2071,nan,
2072,41635/AL,41635
2073,41083,41083
2074,36564/AL,36564
2075,36564/AL,36564
2076,50104/AL,50104
2081,49513/AL,49513
2082,39849/AL,39849
2084,30599,30599
2086,100060/AL,100060
2089,nan,
2090,AL-56192,56192
2091,15790/Al,15790
2092,nan,
2095,nan,
2096,nan,
2097,45385/AL,45385
2099,12563/AL,12563
2101,71389/AL,71389
2102,41491/AL,41491
2103,AL/41081,41081
2106,103227/AL,103227
2107,103227/AL,103227
2108,103227/AL,103227
2109,40212/AL,40212
2110,nan,
2111,121397/AL,121397
2112,48370/AL,48370
2113,42548/AL,42548
2114,49440/AL,49440
2116,58333/AL,58333
2119,43227/AL,43227
2120,42779/AL,42779
2123,40188/AL,40188
2124,38124/AL,38124
2125,37059/AL,37059
2126,40191/AL,40191
2127,42956/AL,42956
2128,45921/AL,45921
2129,544479 AL,544479
2130,58621/AL,58621
2133,98230/AL,98230
2135,40194/AL,40194
2136,nan,
2137,40204/AL,40204
2139,43035/AL,43035
2140,41810/AL,41810
2142,40203/AL,40203
2143,54627/AL,54627
2144,40212/AL,40212
2145,54633/AL,54633
2147,42782/AL,42782
2149,nan,
2151,nan,
2152,42686/AL,42686
2154,44032/AL,44032
2155,88948/AL,88948
2156,44033/AL,44033
2158,127698/AL,127698
2159,45103/AL,45103
2160,46419/AL,46419
2161,nan,
2162,58697/AL,58697
2164,44464/AL,44464
2167,45999/AL,45999
2168,45165/AL,45165
2171,48441/2017,48441
2172,37063/AL,37063
2173,50104/AL,50104
2177,nan,
2178,50104/AL,50104
2179,50104/AL,50104
2180,nan,
2181,50104/AL,50104
2182,nan,
2183,44045/AL,44045
2184,41138/AL,41138
2185,50104/AL,50104
2186,65711/AL,65711
2187,52798 /AL,52798
2188,50104/AL,50104
2189,58582/AL,58582
2190,8680/al,8680
2192,36995/AL,36995
2194,36958/AL,36958
2195,48973/AL,48973
2197,36965/AL,36965
2198,36977/AL,36977
2199,36993/AL,36993
2200,51952/AL,51952
2201,139039/AL,139039
2202,45705/AL,45705
2203,16688/al,16688
2204,43794/AL,43794
2205,nan,
2208,55172/AL,55172
2210,45604/AL,45604
2213,nan,
2214,45417/AL,45417
2215,44613/AL,44613
2216,nan,
2217,46848/AL,46848
2218,53679/AL,53679
2219,49767/AL.,49767
2221,55851/AL,55851
2223,46802/AL,46802
2224,nan,
2225,44302/AL,44302
2226,121603/AL,121603
2227,44025/al,44025
2228,53656/AL,53656
2229,63294/AL,63294
2230,nan,
2231,59113/AL,59113
2232,44021/AL,44021
2233,44560/AL,44560
2234,44547/AL,44547
2235,nan,
2236,51959/AL,51959
2237,nan,
2238,51986/AL,51986
2239,48324/AL,48324
2240,nan,
2241,57245/AL,57245
2242,23733/al,23733
2243,44557/AL,44557
2245,nan,
2246,84552/AL,84552
2247,41836/AL,41836
2248,nan,
2249,RNET 7972,7972
2250,45224/AL,45224
2251,nan,
2252,69577/AL,69577
2255,47232/AL,47232
2256,nan,
2257,nan,
2258,47234/AL,47234
2259,nan,
2260,nan,
2261,43746/AL,43746
2262,60185/AL,60185
2263,60187/AL,60187
2264,51871/AL,51871
2265,nan,
2266,42735/AL,42735
2267,46361/AL,46361
2268,34325/AL,34325
2269,109843/AL,109843
2270,nan,
2271,128557/AL,128557
2272,65376/AL,65376
2273,49164/AL,49164
2274,44303/AL,44303
2275,41141/AL,41141
2280,nan,
2281,nan,
2282,45145/AL,45145
2283,44022 Al,44022
2286,109484/AL,109484
2288,nan,
2289,55941/AL,55941
2291,nan,
2292,nan,
2294,46525/AL,46525
2295,nan,
2296,44488/AL,44488
2297,nan,
2300,51993/AL,51993
2301,nan,
2302,43637/AL,43637
2303,14781/AL,14781
2304,46513/AL,46513
2305,53806/AL,53806
2307,43631/AL,43631
2308,49106/AL,49106
2309,nan,
2310,52946/AL,52946
2311,51871/AL,51871
2312,52948/AL,52948
2315,nan,
2316,nan,
2318,45080 AL,45080
2319,nan,
2320,14775/AL,14775
2321,48645/AL,48645
2323,nan,
2326,45842/AL,45842
2329,40751/AL,40751
2330,40669/AL,40669
2332,70302/AL,70302
2333,45664/AL,45664
2334,56913/AL,56913
2336,31747/AL,31747
2337,46091/AL,46091
2339,51871/AL,51871
2342,nan,
2344,56623/AL,56623
2345,38264/AL,38264
2347,109816/AL,109816
2348,nan,
2349,50642/AL,50642
2350,nan,
2351,48997/AL,48997
2353,nan,
2355,50727/AL,50727
2356,85090/AL,85090
2357,nan,
2358,nan,
2359,nan,
2360,nan,
2361,nan,
2362,nan,
2363,52832/AL,52832
2365,109482/AL,109482
2366,nan,
2369,nan,
2370,66013/Al,66013
2372,78039/AL,78039
2374,47122/AL,47122
2377,50860/AL,50860
2378,53716/AL,53716
2379,49241/AL,49241
2380,48508/AL,48508
2381,nan,
2382,55042/AL,55042
2383,51105/AL,51105
2384,nan,
2386,49293/AL,49293
2387,nan,
2388,Exempt,
2389,63976/AL,63976
2390,37815/AL,37815
2391,128557/AL,128557
2394,nan,
2396,120578/AL,120578
2397,46847/AL,46847
2398,nan,
2399,AL51790,51790
2401,nan,
2402,48525/AL,48525
2403,87531/AL,87531
2406,51976/AL,51976
2407,34504/AL,34504
2408,AL 52700  2017,52700
2409,46428/AL,46428
2410,AL51793,51793
2411,57275/AL,57275
2412,109481/AL,109481
2413,53099/AL,53099
2414,48305/AL,48305
2415,49564/AL,49564
2416,129997/AL,129997
2417,77282/AL,77282
2418,77289/AL,77289
2419,45482/AL,45482
2422,51979/AL,51979
2424,50323/AL,50323
2428,51625/AL,51625
2429,50791/AL,50791
2430,50422/AL,50422
2431,48358/AL,48358
2432,50418/AL,50418
2433,nan,
2434,53762/AL,53762
2435,nan,
2436,nan,
2438,nan,
2439,62957/AL,62957
2440,46495/AL,46495
2441,45491/AL,45491
2442,66483 /AL,66483
2443,52853/AL,52853
2445,nan,
2446,66483/AL,66483
2447,nan,
2448,52074/AL,52074
2449,nan,
2450,53941/AL,53941
2451,nan,
2452,44469/AL,44469
2453,130393/AL,130393
2454,nan,
2455,66483/AL,66483
2456,87316/AL,87316
2457,86174/AL,86174
2459,48355/AL,48355
2460,38441/AL,38441
2461,48640/AL.,48640
2463,48513/AL,48513
2464,AL51805,51805
2466,AL 52700  2017,52700
2468,53617/AL,53617
2469,49833/AL,49833
2470,nan,
2471,47215/AL,47215
2472,48378/AL,48378
2473,38416/AL,38416
2475,38418/AL,38418
2476,46382/AL,46382
2477,38417/AL,38417
2480,54171/AL,54171
2481,nan,
2482,54173/AL,54173
2483,48518/AL,48518
2484,54179/AL,54179
2485,57007/AL,57007
2486,nan,
2488,57289/AL,57289
2489,49280/AL,49280
2491,38415/AL,38415
2492,531557AL,531557
2493,60694/AL,60694
2495,50879/AL,50879
2496,48361/AL,48361
2497,40970/AL,40970
2498,111564/AL,111564
2499,48636/AL,48636
2500,37065/AL,37065
2501,73378/AL,73378
2502,77233/AL,77233
2503,50351/AL,50351
2504,77233/AL,77233
2507,48644/AL,48644
2509,nan,
2510,nan,
2511,53716/AL,53716
2512,nan,
2513,53710/AL,53710
2515,53714/AL,53714
2517,53708/AL,53708
2518,53705/AL,53705
2520,nan,
2521,46671/AL,46671
2523,46671/AL,46671
2524,46515/AL,46515
2525,46944/AL,46944
2526,46671/AL,46671
2527,53755/AL,53755
2528,46671/AL,46671
2529,46671/AL,46671
2530,48846/AL,48846
2532,nan,
2536,57285/AL,57285
2538,nan,
2540,50887/AL,50887
2541,53701/AL,53701
2542,nan,
2543,50816/AL,50816
2544,50831/AL,50831
2545,49351/AL,49351
2546,49513/AL,49513
2547,50324/AL,50324
2548,nan,
2549,nan,
2550,50322/AL,50322
2551,nan,
2552,46591/AL,46591
2554,84084/AL,84084
2555,nan,
2556,84084/AL,84084
2557,nan,
2559,nan,
2560,53725/AL,53725
2562,49937/AL,49937
2563,53733/AL,53733
2564,53915/AL,53915
2566,53911/AL,53911
2568,nan,
2569,47218/AL.,47218
2570,nan,
2571,60001/AL,60001
2572,52831/AL,52831
2573,60001/AL,60001
2574,60001/AL,60001
2575,86417/AL,86417
2577,52479/AL,52479
2578,78310/AL,78310
2579,nan,
2580,nan,
2581,50446/AL,50446
2582,51044/AL,51044
2583,38207/AL,38207
2584,51081/AL,51081
2585,49981/AL,49981
2586,86936/AL,86936
2587,nan,
2588,86936/AL,86936
2589,86936/AL,86936
2590,49943/AL,49943
2591,nan,
2592,49946/AL,49946
2594,nan,
2598,nan,
2599,50746/AL,50746
2600,96063/AL,96063
2601,52254/AL,52254
2603,56919/AL,56919
2604,49283/AL,49283
2606,nan,
2608,56921/AL,56921
2609,46909/AL,46909
2610,50805/AL,50805
2612,49262/AL,49262
2613,59070/AL,59070
2616,49275/AL,49275
2617,55593/AL,55593
2619,nan,
2620,nan,
2621,52344/AL,52344
2622,54090/AL,54090
2623,50542/AL,50542
2624,Exempt,
2625,50438/AL,50438
2626,50454/AL,50454
2627,52730/AL,52730
2628,53701/AL,53701
2629,54261/AL,54261
2630,50650/AL,50650
2632,36511/AL,36511
2634,nan,
2635,12101/AL,12101
2636,69812/AL,69812
2637,12105/AL,12105
2638,nan,
2639,45051/AL,45051
2641,15153/AL,15153
2643,118774/AL,118774
2644,30453/AL,30453
2645,96314/AL,96314
2646,44590/AL,44590
2647,49989/AL,49989
2650,21986/AL,21986
2651,49717/AL,49717
2652,101764/AL,101764
2657,16768/AL,16768
2658,53213/AL,53213
2659,52894/AL,52894
2660,55593/AL,55593
2661,nan,
2668,86503/AL,86503
2669,59822/AL,59822
2670,66483 /AL,66483
2671,62957/AL,62957
2673,nan,
2674,nan,
2675,nan,
2676,41101/AL,41101
2677,53674/AL,53674
2678,55990/AL,55990
2680,41101/AL,41101
2682,56010/AL,56010
2683,41101/AL,41101
2684,59070/AL,59070
2685,nan,
2688,33283/AL,33283
2690,55996/AL,55996
2691,56020/AL,56020
2692,56028/AL,56028
2694,52731/AL,52731
2695,nan,
2696,51975/AL,51975
2698,53827/AL,53827
2699,54262/AL,54262
2700,nan,
2701,nan,
2702,56101/AL,56101
2704,48382/AL,48382
2705,55593/AL,55593
2706,60288/AL,60288
2707,55593/AL,55593
2709,60144/AL,60144
2711,52603/AL,52603
2712,55593/AL,55593
2714,nan,
2715,55593/AL,55593
2716,62957/AL,62957
2717,nan,
2719,53756/AL,53756
2721,55593/AL,55593
2722,Exempt,
2723,nan,
2725,nan,
2726,nan,
2727,nan,
2728,53234/AL,53234
2729,69863/AL,69863
2731,59237/AL,59237
2732,56323/AL,56323
2735,nan,
2739,nan,
2740,126924/AL,126924
2742,89645/AL,89645
2743,52900/AL,52900
2744,89645/AL,89645
2745,54028/AL,54028
2746,50606/AL,50606
2747,53930/AL,53930
2748,7110/AL,7110
2749,48401/AL,48401
2750,54128/AL,54128
2751,53497/AL,53497
2752,50510/AL,50510
2754,53414/AL,53414
2755,53495/AL,53495
2756,54193/AL,54193
2757,nan,
2758,nan,
2759,54802/AL,54802
2760,81777/AL,81777
2763,nan,
2765,nan,
2766,55201,55201
2769,63377/AL,63377
2771,54527/AL,54527
2772,nan,
2773,nan,
2775,54652/AL,54652
2776,55235/AL,55235
2777,54196/AL,54196
2778,55294/AL,55294
2779,57540/AL,57540
2780,50194/AL,50194
2782,57429/AL,57429
2783,nan,
2785,nan,
2788,54951/AL,54951
2789,54037/AL,54037
2790,nan,
2791,nan,
2792,55320/AL,55320
2794,54455/AL,54455
2795,nan,
2796,54033/AL,54033
2797,82120/AL,82120
2798,54778/AL,54778
2799,Nº49622 / AL,49622
2800,Nº49462 / AL,49462
2801,Nº49441 / AL,49441
2802,Nº49595 / AL,49595
2803,48962/AL,48962
2804,Nº49620 / AL,49620
2805,54769/AL,54769
2806,54329/AL,54329
2807,Nº49492 / AL,49492
2809,Nº49456 / AL,49456
2810,Nº49597 / AL,49597
2811,54848/AL,54848
2812,Nº49439 / AL,49439
2813,57570/AL,57570
2814,Nº49470 / AL,49470
2815,Nº49613 / AL,49613
2816,nan,
2820,Nº49433 / AL,49433
2821,Nº49426 / AL,49426
2823,49522/AL,49522
2824,54554/AL,54554
2825,48996/AL,48996
2826,53953/AL,53953
2827,nan,
2829,55084/AL,55084
2830,55881/AL,55881
2831,55881/AL,55881
2833,nan,
2837,53298/AL,53298
2839,nan,
2840,54431/AL,54431
2841,53076/AL,53076
2843,54318/AL,54318
2844,nan,
2845,nan,
2847,54030/AL,54030
2848,50506/AL,50506
2850,101213/AL,101213
2851,54691/AL,54691
2852,nan,
2853,nan,
2854,nan,
2856,50564/AL,50564
2857,nan,
2858,nan,
2859,57003/AL,57003
2861,55085/AL,55085
2862,101214/AL,101214
2864,48925/AL,48925
2865,55611/AL,55611
2866,101211/AL,101211
2867,77296/AL,77296
2868,55770/AL,55770
2873,51005/AL,51005
2874,57929/AL,57929
2875,nan,
2876,nan,
2877,65916/AL,65916
2878,56431/AL,56431
2879,56431/AL,56431
2880,35601/AL,35601
2884,66571/AL,66571
2885,75819/AL,75819
2886,66571/AL,66571
2887,nan,
2891,6277/AL,6277
2895,nan,
2896,58534/AL,58534
2898,101214/AL,101214
2900,nan,
2901,66676/AL,66676
2903,58264/AL,58264
2904,58703/AL,58703
2905,57153/AL,57153
2906,71387/AL,71387
2907,57156/AL,57156
2908,nan,
2909,nan,
2910,54038/AL,54038
2911,58440/AL,58440
2914,nan,
2915,58435/AL,58435
2916,nan,
2917,nan,
2919,58437/AL,58437
2920,54253/AL,54253
2921,52505/AL,52505
2923,58439/AL,58439
2924,54311/AL,54311
2925,37792/AL,37792
2926,52165/AL,52165
2928,58316/AL,58316
2929,65576/AL,65576
2930,65577/AL,65577
2931,nan,
2932,57159/AL,57159
2933,598813,598813
2934,62240/AL,62240
2935,58440/AL-58435/AL-58439/AL-58437/AL,58440
2937,57717/AL,57717
2940,nan,
2941,nan,
2943,106061/AL,106061
2944,133405/AL,133405
2946,nan,
2947,41858/AL,41858
2948,nan,
2950,52621/AL,52621
2951,nan,
2954,130121/AL,130121
2955,nan,
2956,nan,
2957,57927/AL,57927
2958,63267/AL,63267
2959,121651/AL,121651
2961,57582/AL,57582
2962,64015/AL,64015
2963,nan,
2964,60675/AL,60675
2965,59151/AL,59151
2966,64257/AL,64257
2968,72692/AL,72692
2969,71990/AL,71990
2970,58393/AL,58393
2971,87292/AL,87292
2972,57995/AL,57995
2973,54987/AL,54987
2975,58775/AL,58775
2976,59217/AL,59217
2977,54759/AL,54759
2978,58832/AL,58832
2979,59220/AL,59220
2980,54770/AL,54770
2981,5545/AL,5545
2982,59220/AL,59220
2983,60338/AL,60338
2985,59216/AL,59216
2986,59214/AL,59214
2987,23941/AL,23941
2988,nan,
2989,97042/AL,97042
2990,nan,
2991,58709/AL,58709
2992,60914/AL,60914
2993,37517/AL,37517
2994,5545/AL,5545
2995,60914/AL,60914
2997,65463/AL,65463
2998,58708/AL,58708
2999,54125/AL,54125
3000,126664/AL,126664
3002,22531/AL,22531
3003,59912/AL,59912
3004,nan,
3006,59070/AL,59070
3007,nan,
3009,nan,
3011,38441/AL,38441
3012,nan,
3013,nan,
3014,nan,
3015,nan,
3016,118036/AL,118036
3017,58493/AL,58493
3019,58494/AL,58494
3021,58495/AL,58495
3022,nan,
3023,58497/AL,58497
3024,nan,
3025,nan,
3026,54698/AL,54698
3027,nan,
3028,118036/AL,118036
3029,5984/AL,5984
3030,127698/AL,127698
3031,32588/AL,32588
3032,118036/AL,118036
3033,58683/AL,58683
3034,65287/AL,65287
3035,nan,
3036,121321/AL,121321
3037,nan,
3038,87588/AL,87588
3040,37793/AL,37793
3041,nan,
3042,84085/AL,84085
3043,58498/AL,58498
3044,37784/AL,37784
3045,37786/AL,37786
3046,37781/AL,37781
3047,57192/AL,57192
3050,nan,
3051,118036/AL,118036
3052,118036/AL,118036
3053,nan,
3054,58680/AL,58680
3055,58774/AL,58774
3056,59813/AL,59813
3057,59781/AL,59781
3058,59380/AL,59380
3059,59816/AL,59816
3060,38441/AL,38441
3062,nan,
3063,57022/AL,57022
3064,59816/AL,59816
3065,34340/AL,34340
3067,54982/AL,54982
3068,nan,
3069,nan,
3070,nan,
3071,nan,
3073,nan,
3074,nan,
3075,42590/AL,42590
3076,59425/AL,59425
3077,42587/AL,42587
3078,nan,
3080,nan,
3081,nan,
3082,nan,
3083,nan,
3084,60326/AL,60326
3085,61714/AL,61714
3087,nan,
3089,41239/AL,41239
3090,59589/AL,59589
3091,74411/AL,74411
3092,58461/AL,58461
3093,53368 /AL,53368
3094,5980/14/CMP,5980
3095,55841,55841
3096,nan,
3097,58393/AL,58393
3098,76657/AL,76657
3099,60698/AL,60698
3100,82068/AL,82068
3101,64155/AL,64155
3102,Exempt,
3103,Registo n.º: 237/2010 (4 de Maio) - Turismo Portugal,2010
3104,33632/AL,33632
3105,nan,
3106,65344/AL,65344
3107,59914/AL,59914
3108,61464-AL,61464
3110,59323/AL,59323
3111,7702/AL,7702
3112,60606/AL,60606
3113,59928/AL,59928
3114,6277/AL,6277
3115,59932/AL,59932
3116,86038/AL,86038
3117,nan,
3118,59933/AL,59933
3119,Exempt,
3122,nan,
3125,55022/AL,55022
3126,7705/AL,7705
3127,Exempt,
3128,63363/AL,63363
3129,7708/AL,7708
3130,57429/AL,57429
3131,21837/AL,21837
3132,59898/AL,59898
3133,22694/AL,22694
3134,34684/AL,34684
3135,34682/AL,34682
3137,78242/AL,78242
3138,56448/AL,56448
3139,113899/AL,113899
3140,55787/AL,55787
3142,116451/AL,116451
3143,116451/AL,116451
3144,116451/AL,116451
3145,nan,
3146,nan,
3147,72527/AL,72527
3148,nan,
3150,37242/AL,37242
3152,nan,
3153,nan,
3156,Exempt,
3157,60473/AL,60473
3158,58828/AL,58828
3160,57199/AL,57199
3161,84033/AL,84033
3162,118688/AL,118688
3163,61127/AL,61127
3164,82081/AL,82081
3166,82071/AL,82071
3168,86086/AL,86086
3170,60618/AL,60618
3171,52708/AL,52708
3172,60917/AL,60917
3174,61074/AL,61074
3175,nan,
3176,52691/AL,52691
3177,61270/AL,61270
3178,61439/AL,61439
3180,85841/AL,85841
3181,85829/AL,85829
3182,61007/AL,61007
3183,52682/AL,52682
3184,86020/AL,86020
3187,52710/AL,52710
3188,nan,
3189,24672/AL,24672
3190,67612/AL,67612
3192,21248/AL,21248
3194,60862/AL,60862
3195,23574/AL,23574
3196,61822/AL,61822
3198,Exempt,
3199,12482/AL,12482
3200,59653/AL,59653
3201,12504/AL,12504
3202,201719/AL,201719
3203,63371/AL,63371
3204,59651/AL,59651
3205,63062/AL,63062
3206,12498/AL,12498
3208,62606/AL,62606
3209,63397/AL,63397
3211,114604/AL,114604
3213,54041/AL,54041
3214,81288/AL,81288
3215,63738/AL,63738
3217,61280/AL,61280
3218,55304/AL,55304
3219,64354/AL,64354
3220,82730/AL,82730
3221,64132/AL,64132
3223,58585/AL,58585
3225,67249/AL,67249
3226,29490/AL,29490
3227,26825/AL,26825
3228,Exempt,
3229,29503/AL,29503
3230,61574/AL,61574
3231,65135/AL,65135
3232,120070/AL,120070
3233,nan,
3235,62026/AL,62026
3236,12922/AL,12922
3237,63070/AL,63070
3238,54040/AL,54040
3239,92872/AL,92872
3240,nan,
3242,47401/AL,47401
3243,59464/AL,59464
3244,85384/AL,85384
3245,"51351/AL;51499/AL;51474/AL,51413/AL,51510/AL,51296/AL,51409/AL,51462/AL,51357/AL",51351
3247,62734/AL,62734
3248,54959/AL,54959
3249,63367/AL,63367
3251,64964/AL,64964
3254,46216/AL,46216
3256,nan,
3259,46218/AL,46218
3262,64699/AL,64699
3270,53948/AL,53948
3271,65277/AL,65277
3272,101088/AL,101088
3273,86385/AL,86385
3274,101090/AL,101090
3275,101089/AL,101089
3276,61116/AL,61116
3277,80811/AL,80811
3278,16700/AL,16700
3280,63208/AL,63208
3281,52228/al,52228
3282,39862/AL,39862
3283,65375/AL,65375
3285,48320,48320
3291,nan,
3292,33634/AL,33634
3293,72810/AL,72810
3294,nan,
3295,63451/AL,63451
3296,nan,
3297,64715/AL,64715
3298,65277/AL,65277
3301,44984/AL,44984
3302,24057/AL,24057
3303,44984/AL,44984
3304,44984/AL,44984
3306,49293/AL,49293
3307,44984/AL,44984
3308,44984/AL,44984
3309,44984/AL,44984
3310,65691/AL,65691
3311,44984/AL,44984
3312,62343/AL,62343
3313,Exempt,
3314,62344/AL,62344
3315,62348/AL,62348
3316,62349/AL,62349
3317,62354/AL,62354
3318,61127/AL,61127
3319,74421/AL,74421
3321,131493/AL,131493
3322,61129/AL,61129
3323,65404/AL,65404
3324,44984/AL,44984
3325,61100/AL,61100
3326,63457/AL,63457
3327,62248/AL,62248
3328,48329 AL,48329
3329,63820/AL,63820
3330,61121/AL,61121
3331,63419/AL,63419
3332,64620/AL,64620
3333,63430/AL,63430
3334,nan,
3335,55709/AL,55709
3336,61630/AL,61630
3337,63419/AL,63419
3338,53366/AL,53366
3339,46220/AL,46220
3340,63422/AL,63422
3342,56331/AL,56331
3343,6161/AL,6161
3345,6158/AL,6158
3347,64073/AL,64073
3348,60924/AL,60924
3350,53129/AL,53129
3351,61468/AL,61468
3352,113863/AL,113863
3353,23110/AL,23110
3354,64658AL,64658
3355,65530/AL,65530
3356,67038/AL,67038
3357,115784/AL,115784
3358,55201,55201
3359,55201,55201
3360,nan,
3361,52849/AL,52849
3362,61694/AL,61694
3363,nan,
3364,nan,
3366,61698/AL,61698
3370,67126/AL,67126
3371,65729/AL,65729
3373,6849/AL,6849
3374,6849/AL,6849
3375,60916/AL,60916
3376,6849/AL,6849
3377,68406/AL,68406
3378,nan,
3379,nan,
3382,66253/AL,66253
3384,nan,
3385,67439/AL,67439
3387,5972/AL,5972
3388,65575/AL,65575
3389,66366/AL,66366
3392,67455/AL,67455
3397,71217/AL,71217
3400,89227/AL,89227
3401,66165/AL,66165
3402,66628/AL,66628
3404,86528/AL,86528
3406,63151/AL,63151
3407,66629/AL,66629
3408,65272/AL,65272
3409,nan,
3410,66602/AL,66602
3412,68507/AL,68507
3415,59323/AL,59323
3417,68235/AL,68235
3418,67279/AL,67279
3421,95663/AL,95663
3422,66527/AL,66527
3423,66530/AL,66530
3424,66528/AL,66528
3425,66533/AL,66533
3426,67434/AL,67434
3427,67406/AL,67406
3428,16772/AL,16772
3429,nan,
3431,81004/AL,81004
3432,62957/AL,62957
3436,67925/AL,67925
3441,nan,
3442,69574/AL,69574
3443,67272/AL,67272
3444,nan,
3446,nan,
3447,67686/AL,67686
3448,nan,
3449,67694/AL,67694
3450,67692/AL,67692
3451,67696/AL,67696
3452,67693/AL,67693
3453,107952/AL,107952
3454,122891/AL,122891
3459,63081/AL,63081
3461,67885/AL,67885
3463,68200/AL,68200
3464,58775/AL,58775
3466,nan,
3467,56853/AL,56853
3468,67347/AL,67347
3469,96769/AL,96769
3470,67288/AL,67288
3471,67910/AL,67910
3472,64115/AL,64115
3473,67911/AL,67911
3475,67910/AL e 67911/AL,67910
3476,67375/AL,67375
3477,68662/AL,68662
3478,4567/AL,4567
3479,92187/AL,92187
3480,68169/AL,68169
3481,97968/AL,97968
3482,92187/AL,92187
3484,91682/AL,91682
3486,67352/AL,67352
3487,92187/AL,92187
3488,AL55770,55770
3489,52974/AL,52974
3491,67702/AL,67702
3492,67873/AL,67873
3495,Registo nº6419/AL,6419
3496,43145/AL,43145
3498,52969/AL,52969
3499,60030/AL,60030
3500,nan,
3501,55390/AL,55390
3502,70497/AL,70497
3503,67479/AL,67479
3504,63873/AL,63873
3505,68017/AL,68017
3506,128557/AL,128557
