id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
25161729,Alfazema Room,190133313,Pedro,VILA NOVA DE GAIA,Mafamude e Vilar do Paraíso,41.10139,-8.60519,Private room,49,2,6,2018-09-24,0.11,2,0,0,60906/AL
24654718,BessaApartments 2A-Porto,185229778,Manuela Batista,PORTO,Ramalde,41.16187,-8.64474,Entire home/apt,85,1,30,2022-10-23,0.53,5,346,6,68756/AL
24665179,Sunny Rest Downtown,195000159,Elsa,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.14298,-8.61426,Entire home/apt,57,3,92,2022-11-05,1.64,1,341,28,122367/AL
24673455,Ilha Mesquita - Casa 1,176967645,Helder,VILA NOVA DE GAIA,Santa Marinha e São Pedro da Afurada,41.13513,-8.60945,Entire home/apt,45,28,3,2019-09-21,0.05,8,0,0,Exempt
24940451,Janelas do Porto,37828871,António,VILA NOVA DE GAIA,Santa Marinha e São Pedro da Afurada,41.13659,-8.60744,Entire home/apt,60,3,4,2018-08-15,0.07,1,0,0,55374/AL
25163510,sunset@leçadapalmeira,186644838,Hermengarda,MATOSINHOS,Matosinhos e Leça da Palmeira,41.19893,-8.70378,Entire home/apt,134,2,66,2022-10-02,1.20,1,330,13,71566/AL
24675169,Learn Porto Apartment by JC,124472632,João,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.15751,-8.60928,Entire home/apt,80,2,24,2022-07-05,0.43,22,352,4,67330/AL
24675658,"Your place for Sea, Cellars & Porto! (parking inc)",37817760,Sílvia,VILA NOVA DE GAIA,Canidelo,41.1288,-8.64173,Entire home/apt,48,3,118,2022-12-11,2.10,2,162,27,69640/AL
24677615,HELLO PORTO,93198694,Maria,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.1479,-8.6027,Entire home/apt,50,2,191,2022-11-20,3.40,1,165,42,63545/AL
24684382,Apartment near Douro river in Oporto,21698756,Rodrigo,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.14345,-8.61676,Entire home/apt,106,1,182,2022-12-11,3.24,4,330,25,69670/AL
24958158,Double Suite with Awesome Garden View,188687259,Ines,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.15475,-8.61187,Private room,77,2,9,2022-09-09,0.16,4,322,1,70522/AL
24688853,Port Wine House (N53),143701949,BmyGuest Short Term Rental -,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.15419,-8.60903,Entire home/apt,65,1,0,,,14,358,0,118775/AL
24960390,Amazing Suite with Private Balcony,188687259,Ines,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.15475,-8.61187,Entire home/apt,88,2,6,2022-03-20,0.11,4,325,1,70522/AL
25175441,UNESCO World Heritage Light Studio with AC,1684432,Susana,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.14431,-8.61441,Entire home/apt,45,2,249,2022-12-09,4.49,1,181,65,71320/AL
